,FeatureImportances,FeatureNames
217,2.5130137828978165e-05,cat__HUC8_18-070303
218,1.2505788925293967e-05,cat__HUC8_18-070304
219,3.6977403198761396e-06,cat__HUC8_18-070305
220,7.0158522160935e-06,cat__HUC8_18-080001
221,0.000636832269437166,cat__HUC8_18-080003
222,7.410882323258535e-05,cat__HUC8_18-090101
223,0.00013201923664333363,cat__HUC8_18-090102
224,5.1512389283778424e-06,cat__HUC8_18-090103
225,2.870261867747136e-06,cat__HUC8_18-090202
226,5.072815819889679e-06,cat__HUC8_18-090203
227,1.044748616576112e-07,cat__HUC8_18-090204
228,0.00012910280957821672,cat__HUC8_18-090205
229,0.0059404495080389395,cat__HUC8_18-090206
230,0.00041101406253763167,cat__HUC8_18-090208
231,4.8328250252325565e-06,cat__HUC8_18-100100
232,0.0007787946600576389,cat__HUC8_18-100201
233,2.553839680384751e-08,cat__HUC8_18-100202
234,4.62441346655177e-07,cat__HUC8_18-100203
235,3.072083159107312e-05,cat__HUC8_18-100204
236,0.0014007711389298736,cat__Basin_Number_part1_1
237,0.0002785499487860209,cat__Basin_Number_part1_2
238,8.203944226539664e-09,cat__Basin_Number_part1_2A3
239,0.00214442283232803,cat__Basin_Number_part1_3
240,0.0020449497583162678,cat__Basin_Number_part1_4
241,5.387266932683787e-08,cat__Basin_Number_part1_4A8
242,0.007924935129678075,cat__Basin_Number_part1_5
243,6.71140428904998e-07,cat__Basin_Number_part1_5A6
244,0.0,cat__Basin_Number_part1_5A7
245,3.843426156495729e-07,cat__Basin_Number_part1_5A9
246,0.002204269730693361,cat__Basin_Number_part1_6
247,0.0,cat__Basin_Number_part1_6A7
248,0.000276219925892523,cat__Basin_Number_part1_7
249,1.4025974626942895e-08,cat__Basin_Number_part1_7A8
250,5.456514664629005e-05,cat__Basin_Number_part1_8
251,5.034173229991211e-06,cat__Basin_Number_part1_9
252,0.011929362169449243,cat__Basin_Number_part1_FR
253,0.0010823630338749272,cat__Basin_Number_part1_FR-1
254,0.00017339359964082228,cat__Basin_Number_part1_FR-2
255,0.00030592314056854936,cat__Basin_Number_part1_FR-25
256,0.0004434700165147421,cat__Basin_Number_part1_FR-3
257,4.019846333710215e-05,cat__Basin_Number_part1_FR-4
258,0.0,cat__Basin_Number_part1_FR-4689
259,2.6582375344095557e-08,cat__Basin_Number_part1_FR-48
260,0.002382729209369563,cat__Basin_Number_part1_FR-5
261,0.0,cat__Basin_Number_part1_FR-56
262,5.11907043082953e-06,cat__Basin_Number_part1_FR-57
263,0.00013756534550800686,cat__Basin_Number_part1_FR-6
264,0.00018681554869062788,cat__Basin_Number_part1_FR-7
265,0.0,cat__Basin_Number_part1_FR-78
266,1.4070937902580867e-05,cat__Basin_Number_part1_FR-8
267,9.02421783548307e-06,cat__Basin_Number_part1_FR-9
268,0.011467987725019163,cat__FracturedRock_0-000
269,0.011115940272252186,cat__FracturedRock_FR-999
270,0.0029811791189750946,cat__Basin12_0-000
271,2.098162920579327e-05,cat__Basin12_1-001
272,9.195522602462726e-06,cat__Basin12_1-002
273,6.348549383449176e-06,cat__Basin12_1-003
274,0.0001978405704258428,cat__Basin12_1-004
275,0.0001507805558190453,cat__Basin12_1-005
276,2.1534172408118968e-05,cat__Basin12_1-008
277,3.800093655669661e-06,cat__Basin12_1-009
278,4.560674606740252e-05,cat__Basin12_1-010
279,4.336283673430052e-06,cat__Basin12_1-011
280,9.106545443710725e-06,cat__Basin12_1-012
281,2.152102186627214e-05,cat__Basin12_1-013
282,1.559688593508375e-06,cat__Basin12_1-014
283,1.482196560308758e-05,cat__Basin12_1-015
284,1.746547765334616e-05,cat__Basin12_1-019
285,0.0014723901090029524,cat__Basin12_1-021
286,9.178193865427627e-07,cat__Basin12_1-026
287,0.0007621395114340072,cat__Basin12_1-027
288,9.492265666441547e-09,cat__Basin12_1-031
289,1.9606465654266646e-05,cat__Basin12_1-032
290,0.0,cat__Basin12_1-034
291,0.0,cat__Basin12_1-039
292,0.0007548729179453412,cat__Basin12_1-052
293,0.00018634545219190928,cat__Basin12_1-053
294,0.0031191797724583717,cat__Basin12_1-054
295,0.0006983475436061594,cat__Basin12_1-055
296,6.0601297906327265e-06,cat__Basin12_1-0551-060
297,3.448690680788447e-05,cat__Basin12_1-057
298,0.0012060311466816822,cat__Basin12_1-059
299,0.000428450153694547,cat__Basin12_1-060
300,6.39299732647984e-05,cat__Basin12_1-061
301,5.044312974113421e-07,cat__Basin12_2-001
302,2.676803799429532e-05,cat__Basin12_2-002
303,0.00032062984789701286,cat__Basin12_2-003
304,4.00743954789187e-06,cat__Basin12_2-004
305,4.016255800051594e-05,cat__Basin12_2-0042-005
306,4.031941127619828e-05,cat__Basin12_2-009
307,5.902885022919737e-06,cat__Basin12_2-010
308,0.0,cat__Basin12_2-011
309,6.415382127829394e-05,cat__Basin12_2-0112-035
310,2.365701365110267e-06,cat__Basin12_2-019
311,1.4052672271101823e-05,cat__Basin12_2-022
312,6.998980380355711e-06,cat__Basin12_2-026
313,0.00012886849881030177,cat__Basin12_2-027
314,0.0,cat__Basin12_2-032
315,7.034900578244659e-08,cat__Basin12_2-035
316,4.821211174213991e-06,cat__Basin12_2-038
317,0.006656967129735204,cat__Basin34_0-000
318,1.9896466181119028e-05,cat__Basin34_3-001
319,7.198347468066552e-06,cat__Basin34_3-0013-0263-027
320,0.0011211130375528506,cat__Basin34_3-002
321,0.0,cat__Basin34_3-0023-004
322,9.490205720414062e-07,cat__Basin34_3-0023-027
323,0.0006587487640946562,cat__Basin34_3-003
324,0.0012369046760996518,cat__Basin34_3-004
325,4.364739320617621e-06,cat__Basin34_3-0043-007
326,3.643121627407312e-06,cat__Basin34_3-006
327,0.0,cat__Basin34_3-007
328,0.0011271892233316455,cat__Basin34_3-008
329,1.4688917492993053e-05,cat__Basin34_3-009
330,0.0006812696790171188,cat__Basin34_3-012
331,2.0456797244665376e-06,cat__Basin34_3-0123-015
332,1.8142160751180915e-05,cat__Basin34_3-013
333,4.285390301956499e-07,cat__Basin34_3-014
334,2.3332310272277586e-05,cat__Basin34_3-015
335,0.0,cat__Basin34_3-0153-016
336,2.7372785444211223e-08,cat__Basin34_3-016
337,0.0010844998692580469,cat__Basin34_3-0163-053
338,8.882227865702192e-07,cat__Basin34_3-017
339,0.0,cat__Basin34_3-0173-053
340,1.3097138044549414e-07,cat__Basin34_3-018
341,0.00040628810538118233,cat__Basin34_3-027
342,2.917686658041391e-06,cat__Basin34_3-028
343,2.8680198039246707e-05,cat__Basin34_3-0353-036
344,1.0588248738942542e-06,cat__Basin34_3-041
345,2.057262267101932e-06,cat__Basin34_3-0413-042
346,1.3537893204615976e-05,cat__Basin34_3-049
347,5.397136124725989e-06,cat__Basin34_3-053
348,2.645815871476968e-07,cat__Basin34_4-001
349,4.151189154698146e-06,cat__Basin34_4-002
350,0.0012145691233076729,cat__Basin34_4-003
351,2.8530090470601477e-08,cat__Basin34_4-0034-004
352,0.0005907549110828339,cat__Basin34_4-004
353,0.0011406471678202087,cat__Basin34_4-005
354,1.0630967860039089e-06,cat__Basin34_4-006
355,0.0,cat__Basin34_4-0064-0074-015
356,5.900962592361549e-06,cat__Basin34_4-008
357,0.0,cat__Basin34_4-009
358,1.813068555076198e-08,cat__Basin34_4-010
359,1.2964682790383144e-05,cat__Basin34_4-011
360,0.0,cat__Basin34_4-0114-012
361,1.2056701774922522e-08,cat__Basin34_4-0114-013
362,1.2547637694164052e-06,cat__Basin34_4-012
363,2.9998056787265824e-05,cat__Basin34_4-013
364,1.4731847547722608e-06,cat__Basin34_4-0134-023
365,9.319319043071921e-09,cat__Basin34_4-019
366,3.6479923543158015e-06,cat__Basin34_4-023
367,0.008367271442329386,cat__Basin5_0-000
368,4.078316985113725e-06,cat__Basin5_5-002
369,9.576042452860267e-07,cat__Basin5_5-004
370,1.3510999120487112e-05,cat__Basin5_5-005
371,0.00031288174927611645,cat__Basin5_5-006
372,2.3157685575215547e-05,cat__Basin5_5-0065-050
373,8.688901235992209e-06,cat__Basin5_5-007
374,1.2907849105110495e-05,cat__Basin5_5-009
375,6.774676249542997e-06,cat__Basin5_5-010
376,3.2674533347761715e-07,cat__Basin5_5-0105-060
377,2.782165439818709e-05,cat__Basin5_5-011
378,9.98445737271067e-05,cat__Basin5_5-012
